secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
552,89,0,2.8676,31.7091,0,250,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,42.9,13.04,5.59416,7.44584
553,89,0,2.87655,31.7515,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41.9,13.04,5.46376,7.57624
554,89,0,2.88552,31.7881,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41.9,13.04,5.46376,7.57624
555,88,0,2.89448,31.8204,0,248,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,40.9,13.04,5.33336,7.70664
556,87,0,2.90347,31.8484,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,40.9,13.04,5.33336,7.70664
557,87,0,2.91246,31.8825,0,252,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41,13.04,5.3464,7.6936
558,89,0,2.91965,31.9075,0,251,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41,13.04,5.3464,7.6936
559,90,0,2.92867,31.9358,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41,13.04,5.3464,7.6936
560,90,0,2.93767,31.9558,0,250,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,40.5,13.05,5.28525,7.76475
561,90,0,2.94669,31.9771,0,250,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,40.5,13.05,5.28525,7.76475
562,89,0,2.95572,31.9919,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.4,13.05,5.1417,7.9083
563,90,0,2.96474,32.0056,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.4,13.04,5.13776,7.90224
564,90,0,2.97377,32.0203,0,250,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.4,13.04,5.13776,7.90224
565,90,0,2.98281,32.0319,0,248,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.9,13.04,5.20296,7.83704
566,88,0,2.99184,32.0341,0,247,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.9,13.04,5.20296,7.83704
567,85,0,3.00087,32.0351,0,248,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.7,13.04,5.17688,7.86312
568,85,0,3.00992,32.0404,0,248,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.7,13.04,5.17688,7.86312
569,84,0,3.01896,32.0447,0,249,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39,13.05,5.0895,7.9605
570,84,0,3.028,32.0579,0,251,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39,13.05,5.0895,7.9605
571,84,0,3.03524,32.0737,0,253,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39,13.05,5.0895,7.9605
572,87,0,3.04429,32.1151,0,268,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,38.9,13.05,5.07645,7.97355
573,87,0,3.05337,32.2253,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.9,13.05,4.94595,8.10405
574,89,0,3.06248,32.3373,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.9,13.05,4.94595,8.10405
575,90,0,3.07162,32.4399,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.1,13.06,4.84526,8.21474
576,90,0,3.08079,32.5315,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.1,13.06,4.84526,8.21474
577,90,0,3.08996,32.6164,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.7,13.06,4.79302,8.26698
578,92,0,3.09918,32.6862,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.7,13.06,4.79302,8.26698
579,92,0,3.10842,32.7472,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.7,13.06,4.79302,8.26698
580,92,0,3.11768,32.8055,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.5,13.06,4.7669,8.2931
581,92,0,3.12691,32.8557,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.6,13.06,4.77996,8.28004
582,93,0,3.13619,32.8971,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.6,13.06,4.77996,8.28004
583,92,0,3.14548,32.9322,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.6,13.06,4.91056,8.14944
584,92,0,3.15294,32.9582,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.6,13.06,4.91056,8.14944
585,91,0,3.16221,32.9885,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.3,13.05,4.86765,8.18235
586,91,0,3.17153,33.0157,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,37.3,13.05,4.86765,8.18235
587,90,0,3.18084,33.0414,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.2,13.05,4.7241,8.3259
588,89,0,3.19017,33.0692,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,36.2,13.05,4.7241,8.3259
589,90,0,3.19949,33.0901,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.5,13.05,4.63275,8.41725
590,91,0,3.20886,33.1092,0,273,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.5,13.05,4.63275,8.41725
591,90,0,3.2182,33.1203,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.6,13.05,4.5153,8.5347
592,90,0,3.22755,33.1414,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.6,13.05,4.5153,8.5347
593,92,0,3.23688,33.1603,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.7,13.05,4.39785,8.65215
594,92,0,3.24625,33.1705,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.7,13.05,4.39785,8.65215
595,92,0,3.25559,33.1806,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.7,13.05,4.39785,8.65215
596,92,0,3.26496,33.194,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.7,13.05,4.39785,8.65215
597,92,0,3.27247,33.2,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.7,13.05,4.39785,8.65215
598,91,0,3.28184,33.2046,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34,13.06,4.4404,8.6196
599,91,0,3.29121,33.2121,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34,13.06,4.4404,8.6196
600,92,0,3.30055,33.2187,0,274,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.5,13.06,4.5057,8.5543
601,92,0,3.30993,33.2199,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.2,13.06,4.59712,8.46288
602,92,0,3.31929,33.229,0,277,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.2,13.06,4.59712,8.46288
603,92,0,3.32869,33.2404,0,276,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.9,13.06,4.55794,8.50206
604,92,0,3.33806,33.2554,0,287,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.9,13.06,4.55794,8.50206
605,94,0,3.34746,33.3564,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.9,13.06,4.55794,8.50206
606,93,0,3.35688,33.4612,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.4,13.06,4.49264,8.56736
607,92,0,3.36636,33.5571,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.4,13.06,4.49264,8.56736
608,92,0,3.37581,33.6425,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,34.4,13.06,4.49264,8.56736
609,93,0,3.38531,33.7182,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.8,13.06,4.41428,8.64572
610,93,0,3.39294,33.7663,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.8,13.06,4.41428,8.64572
611,92,0,3.40248,33.8273,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,32.7,13.06,4.27062,8.78938
612,92,0,3.41204,33.8841,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,32.7,13.06,4.27062,8.78938
613,91,0,3.42158,33.9319,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,31.8,13.06,4.15308,8.90692
614,91,0,3.43117,33.9787,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,31.8,13.06,4.15308,8.90692
615,91,0,3.44076,34.0245,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,31.4,13.06,4.10084,8.95916
616,92,0,3.45036,34.0562,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,31.4,13.06,4.10084,8.95916
617,92,0,3.45997,34.0826,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.6,13.07,3.99942,9.07058
618,91,0,3.46959,34.1114,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.6,13.07,3.99942,9.07058
619,92,0,3.47924,34.1371,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.6,13.07,3.99942,9.07058
620,92,0,3.48888,34.16,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.1,13.07,3.93407,9.13593
621,92,0,3.4985,34.1747,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.1,13.07,3.93407,9.13593
622,91,0,3.50813,34.1912,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30,13.07,3.921,9.149
623,90,0,3.51585,34.2038,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30,13.07,3.921,9.149
624,91,0,3.52553,34.2102,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.4,13.07,3.97328,9.09672
625,90,0,3.53518,34.2264,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.2,13.07,3.94714,9.12286
626,90,0,3.54483,34.2371,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.2,13.07,3.94714,9.12286
627,90,0,3.55447,34.2457,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,29.7,13.07,3.88179,9.18821
628,88,0,3.56415,34.2599,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,29.7,13.07,3.88179,9.18821
629,90,0,3.57379,34.2787,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,28.7,13.07,3.75109,9.31891
630,92,0,3.58348,34.2837,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,28.7,13.07,3.75109,9.31891
631,92,0,3.59314,34.2841,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,27.7,13.07,3.62039,9.44961
632,91,0,3.60282,34.3371,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,27.7,13.07,3.62039,9.44961
633,90,0,3.61253,34.4508,0,327,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,27.7,13.07,3.62039,9.44961
634,92,0,3.62229,34.5542,0,323,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,26.9,13.07,3.51583,9.55417
