secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.76,7.92396,4.83604
1,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.75,7.99425,4.75575
2,0,0,0.000250947,3.00686,0,106,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.75,7.99425,4.75575
3,63,0,0.00164068,6.64208,0,180,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.71,7.95646,4.75354
4,78,0,0.00389204,9.17902,0,140,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.71,7.95646,4.75354
5,69,0,0.00677887,10.8867,0,122,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.71,7.89291,4.81709
6,94,0,0.0100557,11.8852,0,74,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.71,7.89291,4.81709
7,89,0,0.013486,12.5237,0,72,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.7,7.8232,4.8768
8,94,0,0.0171276,13.0534,0,69,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.7,7.8232,4.8768
9,94,0,0.020882,13.6194,0,63,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.8,12.7,7.7216,4.9784
10,95,0,0.0241051,13.9299,0,62,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.8,12.7,7.7216,4.9784
11,97,0,0.028122,14.2929,0,69,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.7,7.6327,5.0673
12,98,0,0.0323169,14.6722,0,61,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.7,7.6327,5.0673
13,98,0,0.0366097,14.9154,0,59,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.9,12.72,7.61928,5.10072
14,98,0,0.0409754,15.0934,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.9,12.72,7.61928,5.10072
15,98,0,0.0445718,15.255,0,59,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.72,7.64472,5.07528
16,98,0,0.0488997,15.2012,0,30,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60.1,12.72,7.64472,5.07528
17,93,0,0.0531858,15.1429,0,52,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,12.72,7.632,5.088
18,93,0,0.0574557,15.3356,0,66,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,60,12.72,7.632,5.088
19,94,0,0.0619955,15.5462,0,51,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.8,12.72,7.60656,5.11344
20,94,0,0.0664516,15.6817,0,55,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.8,12.72,7.60656,5.11344
21,97,0,0.0708756,15.8341,0,56,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.6,12.71,7.57516,5.13484
22,93,0,0.0745199,15.8551,0,41,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.6,12.71,7.57516,5.13484
23,93,0,0.0790605,15.9195,0,39,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.4,12.71,7.54974,5.16026
