secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
174,90,114,0.753046,17.0834,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.9,7.9464,4.9536
175,90,115,0.757873,17.084,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.9,7.9464,4.9536
176,90,116,0.762683,17.0892,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.91,7.95256,4.95744
177,90,117,0.767509,17.0921,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.91,7.95256,4.95744
178,89,117,0.772343,17.0949,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.7,12.92,7.97164,4.94836
179,88,117,0.777147,17.0928,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.7,12.92,7.97164,4.94836
180,87,117,0.781969,17.0965,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.92,7.95872,4.96128
181,87,116,0.785837,17.0971,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.92,7.95872,4.96128
182,87,116,0.790651,17.095,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.8,12.93,7.99074,4.93926
183,87,115,0.795481,17.0985,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.8,12.93,7.99074,4.93926
184,86,115,0.800296,17.1018,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.93,8.0166,4.9134
185,88,115,0.805134,17.103,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.93,8.0166,4.9134
186,88,115,0.809961,17.0977,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.93,8.0166,4.9134
187,88,115,0.814785,17.1011,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.93,8.0166,4.9134
188,88,116,0.819597,17.0968,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.3,12.94,8.06162,4.87838
189,88,116,0.824425,17.0956,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.3,12.94,8.06162,4.87838
190,88,116,0.82924,17.0907,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.94,8.12632,4.81368
191,88,114,0.834083,17.0927,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.94,8.12632,4.81368
192,87,114,0.838893,17.0955,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.3,12.94,8.19102,4.74898
193,87,113,0.843717,17.0999,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.3,12.94,8.19102,4.74898
194,86,112,0.847578,17.1004,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.94,8.22984,4.71016
195,88,112,0.852393,17.1017,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.94,8.22984,4.71016
196,89,113,0.857214,17.1047,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
197,90,113,0.862044,17.1058,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
198,90,113,0.866877,17.1077,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.93,8.22348,4.70652
199,90,114,0.871699,17.1095,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.93,8.22348,4.70652
200,89,114,0.876535,17.1083,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
201,88,114,0.881352,17.1045,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
202,88,113,0.886179,17.0991,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
203,88,113,0.891007,17.0988,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
204,88,112,0.895819,17.0956,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
205,87,112,0.900658,17.1,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.93,8.23641,4.69359
206,88,112,0.905472,17.1023,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
207,88,112,0.909329,17.1026,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.93,8.24934,4.68066
208,88,112,0.914167,17.1002,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
209,88,110,0.918978,17.1033,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
210,87,110,0.923817,17.098,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
211,88,110,0.928634,17.0996,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.94,8.24278,4.69722
212,88,110,0.933455,17.0981,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.95,8.2621,4.6879
213,88,109,0.938273,17.0958,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.8,12.95,8.2621,4.6879
214,88,110,0.943104,17.091,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.1,12.95,8.30095,4.64905
215,88,110,0.947926,17.0948,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.1,12.95,8.30095,4.64905
216,88,109,0.952742,17.0927,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.2,12.95,8.3139,4.6361
217,89,109,0.957576,17.088,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.2,12.95,8.3139,4.6361
218,89,109,0.962395,17.0883,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.3,12.96,8.33328,4.62672
219,89,109,0.967222,17.0885,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.3,12.96,8.33328,4.62672
220,88,109,0.971078,17.0849,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.1,12.95,8.30095,4.64905
221,89,109,0.975887,17.0808,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.1,12.95,8.30095,4.64905
222,89,110,0.980699,17.0834,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.1,12.95,8.30095,4.64905
223,89,110,0.985518,17.0867,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.7,12.95,8.24915,4.70085
224,90,109,0.990351,17.0917,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.1,12.95,8.17145,4.77855
225,89,109,0.995178,17.0935,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.1,12.95,8.17145,4.77855
226,89,108,0.999991,17.0925,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.95,8.1067,4.8433
227,89,108,1.00482,17.0878,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.95,8.1067,4.8433
228,88,108,1.00963,17.0835,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.94,8.03574,4.90426
