secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,111,0,1.25545,0,27,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,66.1,12.91,8.53351,4.37649
1,0,111,0.000797301,4.57933,0,119,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.8,12.91,8.49478,4.41522
2,1,113,0.00256046,7.32134,0,103,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.8,12.91,8.49478,4.41522
3,47,113,0.00477426,8.29369,0,52,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.5,12.91,8.45605,4.45395
4,47,113,0.00723556,9.02657,0,52,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.5,12.91,8.45605,4.45395
5,83,112,0.00986681,9.65512,0,50,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,64.4,12.93,8.32692,4.60308
6,86,111,0.0127058,10.219,0,50,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,64.4,12.93,8.32692,4.60308
7,91,110,0.0157233,10.7496,0,53,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
8,96,110,0.0182569,11.1565,0,54,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
9,96,111,0.0215073,11.6024,0,47,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,61.5,12.92,7.9458,4.9742
10,100,111,0.0248483,11.9019,0,38,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,61.5,12.92,7.9458,4.9742
11,100,112,0.0283556,12.1574,0,39,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,60.4,12.93,7.80972,5.12028
12,0,113,0.0318809,12.3354,0,23,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,60.4,12.93,7.80972,5.12028
13,0,113,0.0354318,12.4219,0,47,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,59.3,12.92,7.66156,5.25844
14,0,113,0.0383686,12.6469,0,45,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,59.3,12.92,7.66156,5.25844
15,0,113,0.0420282,12.8747,0,33,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,59.8,12.91,7.72018,5.18982
16,0,113,0.0457391,13.1123,0,59,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,59.8,12.91,7.72018,5.18982
17,88,113,0.0494915,13.4273,0,50,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,61.8,12.92,7.98456,4.93544
18,89,114,0.0534001,13.6588,0,38,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,61.8,12.92,7.98456,4.93544
19,89,115,0.05734,13.7688,0,50,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,63.5,12.93,8.21055,4.71945
