secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.1,12.74,8.93074,3.80926
1,61,0,0.000341085,4.05134,0,196,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.1,12.74,8.93074,3.80926
2,1,0,0.00219658,8.44013,0,193,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70,12.75,8.925,3.825
3,64,0,0.00510125,11.0049,0,160,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70,12.75,8.925,3.825
4,75,0,0.0084571,13.0253,0,286,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,12.75,8.88675,3.86325
5,79,0,0.0116877,15.3238,0,327,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.8,12.75,8.772,3.978
6,78,0,0.0163989,18.0194,0,342,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.8,12.75,8.772,3.978
7,85,0,0.0218335,20.2754,0,277,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.8,12.76,8.52368,4.23632
8,82,0,0.027846,21.7726,0,248,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.8,12.76,8.52368,4.23632
9,82,0,0.0343145,23.6931,0,381,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.8,12.76,8.52368,4.23632
10,89,0,0.0413154,25.0203,0,292,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.8,12.76,8.52368,4.23632
11,87,0,0.0486972,25.9779,0,279,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.9,12.75,8.14725,4.60275
12,92,0,0.0562471,27.132,0,364,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.7,12.74,7.60578,5.13422
13,89,0,0.0640458,27.8515,0,271,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,54,12.74,6.8796,5.8604
14,89,0,0.0719523,28.5026,0,304,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,54,12.74,6.8796,5.8604
15,88,0,0.0784232,29.0417,0,330,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,47.5,12.73,6.04675,6.68325
16,88,0,0.0867389,29.7275,0,222,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,47.5,12.73,6.04675,6.68325
17,88,0,0.0952416,30.1038,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41.1,12.72,5.22792,7.49208
18,92,0,0.103983,30.796,0,371,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,41.1,12.72,5.22792,7.49208
19,96,0,0.112931,31.4849,0,352,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.2,12.73,4.48096,8.24904
20,90,0,0.122376,31.6671,0,262,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,35.2,12.73,4.48096,8.24904
21,90,0,0.129784,31.7592,0,263,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.8,12.73,3.92084,8.80916
22,90,0,0.13922,31.9801,0,305,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,30.8,12.73,3.92084,8.80916
23,89,0,0.148677,32.135,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,28,12.73,3.5644,9.1656
24,93,0,0.157881,32.4308,0,289,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,28,12.73,3.5644,9.1656
25,93,0,0.167245,32.5736,0,252,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.7,12.73,3.27161,9.45839
26,90,0,0.176569,32.5782,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.7,12.73,3.27161,9.45839
27,91,0,0.184071,32.7147,0,269,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.7,12.74,3.14678,9.59322
28,90,0,0.193846,32.7769,0,268,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.7,12.74,3.14678,9.59322
29,90,0,0.203202,32.8322,0,336,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.2,12.74,3.08308,9.65692
30,91,0,0.212486,33.0525,0,257,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.2,12.74,3.08308,9.65692
31,89,0,0.221788,33.0192,0,268,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.2,12.74,3.08308,9.65692
32,89,0,0.23125,33.0269,0,291,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.8,12.74,3.03212,9.70788
33,89,0,0.240567,33.1155,0,281,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,12.74,2.95568,9.78432
34,89,0,0.249879,33.225,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,12.74,2.95568,9.78432
35,89,0,0.259246,33.2756,0,284,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.4,12.73,2.97882,9.75118
36,89,0,0.268762,33.3667,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.4,12.73,2.97882,9.75118
37,89,0,0.278174,33.4656,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,12.73,2.95336,9.77664
38,89,0,0.285831,33.506,0,285,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,12.73,2.95336,9.77664
39,90,0,0.295678,33.4577,0,256,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.1,12.73,2.94063,9.78937
40,91,0,0.305326,33.5445,0,305,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.1,12.73,2.94063,9.78937
41,90,0,0.3148,33.7117,0,364,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.8,12.73,2.90244,9.82756
42,96,0,0.324474,33.8861,0,246,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.8,12.73,2.90244,9.82756
43,95,0,0.334137,33.7492,0,290,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.3,12.73,2.83879,9.89121
44,93,0,0.343745,33.7213,0,278,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.3,12.73,2.83879,9.89121
45,93,0,0.353177,33.6876,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.2,12.73,2.82606,9.90394
46,93,0,0.360813,33.7379,0,284,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.2,12.73,2.82606,9.90394
47,93,0,0.370355,33.753,0,293,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,12.73,2.8006,9.9294
48,92,0,0.379879,33.7053,0,237,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,12.73,2.8006,9.9294
49,92,0,0.389391,33.6713,0,286,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,12.73,2.8006,9.9294
50,92,0,0.398891,33.6089,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.7,12.73,2.76241,9.96759
51,92,0,0.408361,33.6713,0,295,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.9,12.73,2.78787,9.94213
52,91,0,0.417993,33.6206,0,277,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.9,12.73,2.78787,9.94213
53,90,0,0.427596,33.5765,0,270,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.74,2.87924,9.86076
54,90,0,0.437201,33.6668,0,304,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.74,2.87924,9.86076
55,90,0,0.446854,33.6592,0,303,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.73,2.87698,9.85302
56,89,0,0.456513,33.7507,0,303,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.73,2.87698,9.85302
57,90,0,0.464246,33.7252,0,272,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.7,12.73,2.88971,9.84029
58,90,0,0.473911,33.8074,0,306,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.7,12.73,2.88971,9.84029
59,92,0,0.483766,33.8784,0,291,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.9,12.74,2.91746,9.82254
60,91,0,0.493322,33.8167,0,281,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.9,12.74,2.91746,9.82254
61,90,0,0.503159,33.8227,0,305,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.74,2.87924,9.86076
62,91,0,0.512665,33.8322,0,287,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.6,12.74,2.87924,9.86076
