secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
129,88,0,1.18777,34.7134,0,306,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
130,86,0,1.19756,34.7059,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.2,13.08,2.24976,10.8302
131,84,0,1.20737,34.7219,0,316,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
132,84,0,1.21716,34.7473,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
133,88,0,1.227,34.7386,0,308,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.09,2.29075,10.7993
134,89,0,1.23677,34.7382,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.09,2.29075,10.7993
135,88,0,1.24658,34.7445,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
136,89,0,1.25637,34.7501,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
137,88,0,1.26617,34.7509,0,308,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
138,90,0,1.27598,34.7496,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
139,90,0,1.28579,34.7478,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.09,2.2253,10.8647
140,89,0,1.2956,34.7481,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.09,2.2253,10.8647
141,89,0,1.30541,34.7516,0,312,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.09,2.2253,10.8647
142,89,0,1.31322,34.7589,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.2,13.09,2.25148,10.8385
143,91,0,1.32303,34.756,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
144,90,0,1.33285,34.755,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
145,90,0,1.34265,34.7473,0,308,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.2,13.08,2.24976,10.8302
146,88,0,1.35245,34.7439,0,307,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.2,13.08,2.24976,10.8302
147,88,0,1.36228,34.7343,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.08,2.23668,10.8433
148,88,0,1.37206,34.7366,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.08,2.23668,10.8433
149,87,0,1.38185,34.7322,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.08,2.23668,10.8433
150,86,0,1.39164,34.7415,0,312,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
151,87,0,1.40145,34.7438,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
152,87,0,1.41125,34.7459,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
153,88,0,1.42105,34.7445,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
154,88,0,1.43086,34.7452,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
155,88,0,1.43868,34.7426,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.08,2.2236,10.8564
156,88,0,1.4485,34.7444,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.7,13.08,2.18436,10.8956
157,88,0,1.4583,34.7455,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.7,13.07,2.18269,10.8873
158,88,0,1.46812,34.7483,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.7,13.07,2.18269,10.8873
159,88,0,1.47791,34.7503,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.07,2.16962,10.9004
160,89,0,1.48771,34.7498,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.07,2.16962,10.9004
161,89,0,1.49753,34.7499,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.07,2.16962,10.9004
162,89,0,1.5073,34.7513,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.07,2.16962,10.9004
163,89,0,1.51712,34.7525,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.06,2.23326,10.8267
164,88,0,1.52692,34.7536,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.06,2.23326,10.8267
165,89,0,1.53674,34.7546,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.07,2.28725,10.7828
166,89,0,1.54655,34.7536,0,308,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.07,2.28725,10.7828
167,88,0,1.55634,34.7489,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.07,2.28725,10.7828
168,88,0,1.56419,34.7505,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.07,2.32646,10.7435
169,88,0,1.57398,34.7473,0,308,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.07,2.36567,10.7043
170,88,0,1.58379,34.7459,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.07,2.36567,10.7043
171,88,0,1.5936,34.7522,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19,13.08,2.4852,10.5948
172,88,0,1.60342,34.7538,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19,13.08,2.4852,10.5948
173,88,0,1.61321,34.753,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.4,13.08,2.53752,10.5425
174,88,0,1.62301,34.7567,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.4,13.08,2.53752,10.5425
175,88,0,1.63282,34.7573,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.9,13.09,2.60491,10.4851
176,88,0,1.64262,34.7579,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.9,13.09,2.60491,10.4851
177,88,0,1.65244,34.7557,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.1,13.09,2.63109,10.4589
178,88,0,1.66223,34.7578,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.1,13.09,2.63109,10.4589
179,89,0,1.67205,34.761,0,311,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.9,13.09,2.60491,10.4851
180,89,0,1.68184,34.7607,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.9,13.09,2.60491,10.4851
181,89,0,1.68971,34.7594,0,309,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.9,13.09,2.60491,10.4851
182,87,0,1.69948,34.7689,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.2,13.09,2.51328,10.5767
183,88,0,1.70931,34.8118,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
184,88,0,1.71914,34.8512,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
185,88,0,1.72898,34.8902,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
186,88,0,1.73881,34.9192,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.08,2.45904,10.621
187,86,0,1.74868,34.9408,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
188,87,0,1.75854,34.9617,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
189,87,0,1.7684,34.9865,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
190,88,0,1.77827,35.0076,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.8,13.09,2.46092,10.6291
191,89,0,1.78816,35.0282,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.3,13.08,2.39364,10.6864
192,88,0,1.79805,35.0432,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.3,13.08,2.39364,10.6864
193,89,0,1.80794,35.0553,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.9,13.08,2.34132,10.7387
194,89,0,1.81584,35.0646,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.9,13.08,2.34132,10.7387
195,89,0,1.82576,35.0712,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.07,2.2219,10.8481
196,88,0,1.83563,35.081,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.07,2.2219,10.8481
197,88,0,1.84553,35.0866,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.3,13.07,2.13041,10.9396
198,88,0,1.85544,35.0903,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.3,13.07,2.13041,10.9396
199,88,0,1.86533,35.0966,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.07,2.05199,11.018
200,89,0,1.87523,35.0937,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.07,2.05199,11.018
201,88,0,1.88513,35.0971,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.07,2.05199,11.018
202,89,0,1.89503,35.1256,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.8,13.07,2.06506,11.0049
203,94,0,1.90493,35.1442,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.1,13.08,2.10588,10.9741
204,94,0,1.91486,35.1382,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.1,13.08,2.10588,10.9741
205,95,0,1.92477,35.1326,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.1,13.08,2.10588,10.9741
206,94,0,1.93469,35.1298,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.3,13.08,2.13204,10.948
207,93,0,1.94264,35.1264,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
208,90,0,1.95255,35.1267,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
209,90,0,1.96243,35.1356,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.08,2.32824,10.7518
210,91,0,1.97235,35.144,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.08,2.32824,10.7518
211,93,0,1.98227,35.1429,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.3,13.08,2.39364,10.6864
212,90,0,1.99217,35.1447,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.3,13.08,2.39364,10.6864
213,91,0,2.00211,35.1432,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.08,2.36748,10.7125
214,91,0,2.01203,35.14,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.08,2.36748,10.7125
215,91,0,2.02192,35.1413,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.2,13.08,2.38056,10.6994
216,91,0,2.03184,35.1406,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.2,13.08,2.38056,10.6994
217,89,0,2.04174,35.135,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.2,13.08,2.38056,10.6994
218,89,0,2.05166,35.1409,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.2,13.08,2.38056,10.6994
219,89,0,2.06159,35.1446,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.9,13.09,2.34311,10.7469
220,89,0,2.06952,35.1445,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.9,13.09,2.34311,10.7469
221,89,0,2.07942,35.1487,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.09,2.33002,10.76
222,88,0,2.08933,35.149,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.09,2.33002,10.76
223,88,0,2.09925,35.1483,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.8,13.09,2.33002,10.76
224,89,0,2.10918,35.1478,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
225,89,0,2.1191,35.149,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.08,2.17128,10.9087
226,89,0,2.12899,35.1509,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.08,2.17128,10.9087
227,89,0,2.13891,35.1425,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.2,13.08,2.11896,10.961
228,89,0,2.14883,35.1386,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.2,13.08,2.11896,10.961
229,88,0,2.15873,35.1459,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.2,13.08,2.11896,10.961
