secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,111,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75.4,12.86,9.69644,3.16356
1,0,112,1.32606e-05,0.553352,0,37,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75.4,12.86,9.69644,3.16356
2,36,114,0.000641129,3.55772,0,73,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75.2,12.88,9.68576,3.19424
3,66,116,0.00195747,5.68481,0,86,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75.2,12.88,9.68576,3.19424
4,75,117,0.00384285,7.87156,0,198,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75,12.9,9.675,3.225
5,83,118,0.00656084,11.438,0,275,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,75,12.9,9.675,3.225
6,82,119,0.0102338,14.4789,0,287,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,74,12.89,9.5386,3.3514
7,84,120,0.014671,16.8993,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,74,12.89,9.5386,3.3514
8,85,121,0.0197243,18.8887,0,279,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,72.3,12.87,9.30501,3.56499
9,84,123,0.0253113,20.5991,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,72.3,12.87,9.30501,3.56499
10,84,124,0.0313203,22.059,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,72.3,12.87,9.30501,3.56499
11,84,124,0.0377327,23.3644,0,284,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.4,12.87,8.93178,3.93822
12,86,125,0.0431136,24.287,0,278,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.2,12.84,8.37168,4.46832
13,86,126,0.050129,25.2964,0,281,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.2,12.84,8.37168,4.46832
14,86,126,0.0573937,26.2137,0,283,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.1,12.81,7.57071,5.23929
15,88,128,0.0649011,27.0096,0,277,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.1,12.81,7.57071,5.23929
16,86,129,0.0726213,27.7026,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,59.1,12.81,7.57071,5.23929
17,87,131,0.0805277,28.339,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,52.3,12.81,6.69963,6.11037
18,87,131,0.0886141,28.8905,0,278,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,45.4,12.81,5.81574,6.99426
19,87,131,0.096835,29.3901,0,281,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,45.4,12.81,5.81574,6.99426
20,87,131,0.105168,29.8337,0,280,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,39.2,12.81,5.02152,7.78848
